WeekBeginning,WeekEnding,AgeGroup,Pathogen,RatePer100000
20161024,20161030,75+ years,Respiratory syncytial virus,0.5
20161024,20161030,75+ years,Rhinovirus,1.6
20161024,20161030,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20161031,20161106,<1 years,Adenovirus,7.2
20161031,20161106,<1 years,Human metapneumovirus,0
20161031,20161106,<1 years,Influenza - Type A (any subtype),0
20161031,20161106,<1 years,Influenza - Type A (not subtyped),0
20161031,20161106,<1 years,Influenza - Type A or B,0
20161031,20161106,<1 years,Influenza - Type A(H1N1)pdm09,0
20161031,20161106,<1 years,Influenza - Type A(H3),0
20161031,20161106,<1 years,Influenza - Type B,0
20161031,20161106,<1 years,Mycoplasma pneumoniae,1.8
20161031,20161106,<1 years,Parainfluenza virus,5.4
20161031,20161106,<1 years,Respiratory syncytial virus,68.4
20161031,20161106,<1 years,Rhinovirus,19.8
20161031,20161106,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161031,20161106,1-4 years,Adenovirus,9.9
20161031,20161106,1-4 years,Human metapneumovirus,3.9
20161031,20161106,1-4 years,Influenza - Type A (any subtype),0.4
20161031,20161106,1-4 years,Influenza - Type A (not subtyped),0
20161031,20161106,1-4 years,Influenza - Type A or B,0.9
20161031,20161106,1-4 years,Influenza - Type A(H1N1)pdm09,0
20161031,20161106,1-4 years,Influenza - Type A(H3),0.4
20161031,20161106,1-4 years,Influenza - Type B,0.4
20161031,20161106,1-4 years,Mycoplasma pneumoniae,2.2
20161031,20161106,1-4 years,Parainfluenza virus,3.9
20161031,20161106,1-4 years,Respiratory syncytial virus,43.2
20161031,20161106,1-4 years,Rhinovirus,28.1
20161031,20161106,1-4 years,Seasonal coronavirus (Non-SARS-CoV-2),0.4
20161031,20161106,5-14 years,Adenovirus,0.7
20161031,20161106,5-14 years,Human metapneumovirus,0
20161031,20161106,5-14 years,Influenza - Type A (any subtype),0
20161031,20161106,5-14 years,Influenza - Type A (not subtyped),0
20161031,20161106,5-14 years,Influenza - Type A or B,0
20161031,20161106,5-14 years,Influenza - Type A(H1N1)pdm09,0
20161031,20161106,5-14 years,Influenza - Type A(H3),0
20161031,20161106,5-14 years,Influenza - Type B,0
20161031,20161106,5-14 years,Mycoplasma pneumoniae,1.6
20161031,20161106,5-14 years,Parainfluenza virus,0.2
20161031,20161106,5-14 years,Respiratory syncytial virus,1
20161031,20161106,5-14 years,Rhinovirus,2.1
20161031,20161106,5-14 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161031,20161106,15-44 years,Adenovirus,0.3
20161031,20161106,15-44 years,Human metapneumovirus,0.1
20161031,20161106,15-44 years,Influenza - Type A (any subtype),0.1
20161031,20161106,15-44 years,Influenza - Type A (not subtyped),0
20161031,20161106,15-44 years,Influenza - Type A or B,0.1
20161031,20161106,15-44 years,Influenza - Type A(H1N1)pdm09,0
20161031,20161106,15-44 years,Influenza - Type A(H3),0.1
20161031,20161106,15-44 years,Influenza - Type B,0
20161031,20161106,15-44 years,Mycoplasma pneumoniae,0.8
20161031,20161106,15-44 years,Parainfluenza virus,0.1
20161031,20161106,15-44 years,Respiratory syncytial virus,0
20161031,20161106,15-44 years,Rhinovirus,1.2
20161031,20161106,15-44 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161031,20161106,45-64 years,Adenovirus,0.3
20161031,20161106,45-64 years,Human metapneumovirus,0.2
20161031,20161106,45-64 years,Influenza - Type A (any subtype),0.1
20161031,20161106,45-64 years,Influenza - Type A (not subtyped),0
20161031,20161106,45-64 years,Influenza - Type A or B,0.1
20161031,20161106,45-64 years,Influenza - Type A(H1N1)pdm09,0
20161031,20161106,45-64 years,Influenza - Type A(H3),0.1
20161031,20161106,45-64 years,Influenza - Type B,0
20161031,20161106,45-64 years,Mycoplasma pneumoniae,0.4
20161031,20161106,45-64 years,Parainfluenza virus,0.3
20161031,20161106,45-64 years,Respiratory syncytial virus,0.5
20161031,20161106,45-64 years,Rhinovirus,1.5
20161031,20161106,45-64 years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20161031,20161106,65-74 years,Adenovirus,0.2
20161031,20161106,65-74 years,Human metapneumovirus,0.2
20161031,20161106,65-74 years,Influenza - Type A (any subtype),0.2
20161031,20161106,65-74 years,Influenza - Type A (not subtyped),0
20161031,20161106,65-74 years,Influenza - Type A or B,0.2
20161031,20161106,65-74 years,Influenza - Type A(H1N1)pdm09,0
20161031,20161106,65-74 years,Influenza - Type A(H3),0.2
20161031,20161106,65-74 years,Influenza - Type B,0
20161031,20161106,65-74 years,Mycoplasma pneumoniae,0.2
20161031,20161106,65-74 years,Parainfluenza virus,0
20161031,20161106,65-74 years,Respiratory syncytial virus,1.6
20161031,20161106,65-74 years,Rhinovirus,2.7
20161031,20161106,65-74 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161031,20161106,75+ years,Adenovirus,0.7
20161031,20161106,75+ years,Human metapneumovirus,0.2
20161031,20161106,75+ years,Influenza - Type A (any subtype),0.5
20161031,20161106,75+ years,Influenza - Type A (not subtyped),0
20161031,20161106,75+ years,Influenza - Type A or B,0.5
20161031,20161106,75+ years,Influenza - Type A(H1N1)pdm09,0
20161031,20161106,75+ years,Influenza - Type A(H3),0.5
20161031,20161106,75+ years,Influenza - Type B,0
20161031,20161106,75+ years,Mycoplasma pneumoniae,0
20161031,20161106,75+ years,Parainfluenza virus,0.5
20161031,20161106,75+ years,Respiratory syncytial virus,0.7
20161031,20161106,75+ years,Rhinovirus,2.3
20161031,20161106,75+ years,Seasonal coronavirus (Non-SARS-CoV-2),0.2
20161107,20161113,<1 years,Adenovirus,7.2
20161107,20161113,<1 years,Human metapneumovirus,3.6
20161107,20161113,<1 years,Influenza - Type A (any subtype),0
20161107,20161113,<1 years,Influenza - Type A (not subtyped),0
20161107,20161113,<1 years,Influenza - Type A or B,0
20161107,20161113,<1 years,Influenza - Type A(H1N1)pdm09,0
20161107,20161113,<1 years,Influenza - Type A(H3),0
20161107,20161113,<1 years,Influenza - Type B,0
20161107,20161113,<1 years,Mycoplasma pneumoniae,1.8
20161107,20161113,<1 years,Parainfluenza virus,7.2
20161107,20161113,<1 years,Respiratory syncytial virus,113.5
20161107,20161113,<1 years,Rhinovirus,39.6
20161107,20161113,<1 years,Seasonal coronavirus (Non-SARS-CoV-2),0
20161107,20161113,1-4 years,Adenovirus,13.8
20161107,20161113,1-4 years,Human metapneumovirus,1.7
20161107,20161113,1-4 years,Influenza - Type A (any subtype),0
20161107,20161113,1-4 years,Influenza - Type A (not subtyped),0
20161107,20161113,1-4 years,Influenza - Type A or B,0.4
